2000, 0
2001, 0
2002, 2
2003, 0
2004, 1
2005, 2
2006, 0
2007, 2
2008, 0
2009, 1
2010, 1
2011, 2
2012, 2
2013, 2
2014, 0
2015, 2
2016, 2
2017, 2
2018, 2
2019, 2
2020, 0
2021, 0
2022, 0
2023, 1
2024, 2
2025, 0
2026, 0
2027, 0
2028, 1
2029, 0
2030, 0
2031, 1
2032, 2
2033, 2
2034, 1
2035, 2
2036, 2
2037, 0
2038, 0
2039, 0
2040, 0
2041, 1
2042, 0
2043, 1
2044, 2
2045, 1
2046, 0
2047, 2
2048, 2
2049, 0
2050, 0
2051, 2
2052, 0
2053, 0
2054, 2
2055, 2
2056, 2
2057, 1
2058, 2
2059, 1
2060, 2
2061, 0
2062, 0
2063, 0
2064, 1
2065, 2
2066, 2
2067, 0
2068, 0
2069, 1
2070, 1
2071, 1
2072, 2
2073, 0
2074, 1
2075, 0
2076, 1
2077, 1
2078, 2
2079, 2
2080, 2
2081, 2
2082, 2
2083, 1
2084, 0
2085, 1
2086, 2
2087, 1
2088, 0
2089, 1
2090, 1
2091, 0
2092, 2
2093, 1
2094, 0
2095, 2
2096, 1
2097, 1
2098, 2
2099, 1
2100, 2
2101, 1
2102, 0
2103, 2
2104, 0
2105, 2
2106, 2
2107, 0
2108, 1
2109, 1
2110, 2
2111, 0
2112, 1
2113, 2
2114, 2
2115, 1
2116, 1
2117, 0
2118, 2
2119, 1
2120, 1
2121, 1
2122, 2
2123, 1
2124, 2
2125, 2
2126, 0
2127, 1
2128, 1
2129, 0
2130, 0
2131, 2
2132, 0
2133, 2
2134, 1
2135, 2
2136, 2
2137, 2
2138, 2
2139, 2
2140, 1
2141, 1
2142, 2
2143, 0
2144, 0
2145, 1
2146, 0
2147, 1
2148, 2
2149, 2
2150, 1
2151, 0
2152, 2
2153, 0
2154, 2
2155, 2
2156, 2
2157, 2
2158, 0
2159, 2
2160, 1
2161, 0
2162, 2
2163, 1
2164, 2
2165, 1
2166, 2
2167, 2
2168, 2
2169, 0
2170, 1
2171, 1
2172, 1
2173, 1
2174, 1
2175, 1
2176, 0
2177, 1
2178, 2
2179, 1
2180, 1
2181, 1
2182, 0
2183, 1
2184, 2
2185, 2
2186, 1
2187, 0
2188, 1
2189, 2
2190, 0
2191, 2
2192, 2
2193, 0
2194, 2
2195, 1
2196, 1
2197, 2
2198, 0
2199, 2
